interval_start_time,X,Y,dateTimeDayofTheWeek,year,month,day,hour,minute,people
2019-04-22 7:45:00,10.73397929,59.91301053,2,2019,4,22,7,45,38
2019-04-22 7:50:00,10.73397929,59.91301053,2,2019,4,22,7,50,40
2019-04-22 7:55:00,10.73397929,59.91301053,2,2019,4,22,7,55,40
2019-04-22 8:00:00,10.73397929,59.91301053,2,2019,4,22,8,0,38
2019-04-22 8:05:00,10.73397929,59.91301053,2,2019,4,22,8,5,44
2019-04-22 8:10:00,10.73397929,59.91301053,2,2019,4,22,8,10,47
2019-04-22 8:15:00,10.73397929,59.91301053,2,2019,4,22,8,15,54
2019-04-22 8:20:00,10.73397929,59.91301053,2,2019,4,22,8,20,55
2019-04-22 8:25:00,10.73397929,59.91301053,2,2019,4,22,8,25,58
2019-04-22 8:30:00,10.73397929,59.91301053,2,2019,4,22,8,30,56
2019-04-22 8:35:00,10.73397929,59.91301053,2,2019,4,22,8,35,51
2019-04-22 8:40:00,10.73397929,59.91301053,2,2019,4,22,8,40,56
2019-04-22 8:45:00,10.73397929,59.91301053,2,2019,4,22,8,45,56
2019-04-22 8:50:00,10.73397929,59.91301053,2,2019,4,22,8,50,57
2019-04-22 8:55:00,10.73397929,59.91301053,2,2019,4,22,8,55,61
2019-04-22 9:00:00,10.73397929,59.91301053,2,2019,4,22,9,0,64
2019-04-22 9:05:00,10.73397929,59.91301053,2,2019,4,22,9,5,82
2019-04-22 9:10:00,10.73397929,59.91301053,2,2019,4,22,9,10,98
2019-04-22 9:15:00,10.73397929,59.91301053,2,2019,4,22,9,15,106
2019-04-22 9:20:00,10.73397929,59.91301053,2,2019,4,22,9,20,117
2019-04-22 9:25:00,10.73397929,59.91301053,2,2019,4,22,9,25,121
2019-04-22 9:30:00,10.73397929,59.91301053,2,2019,4,22,9,30,129
2019-04-22 9:35:00,10.73397929,59.91301053,2,2019,4,22,9,35,129
2019-04-22 9:40:00,10.73397929,59.91301053,2,2019,4,22,9,40,150
2019-04-22 9:45:00,10.73397929,59.91301053,2,2019,4,22,9,45,169
